bare_form,accented_form,last_letter,gender,translations,is_animate,is_indeclinable,is_sg_only,is_pl_only,partner,usage,nom_sg,nom_sg_tags,nom_pl,nom_pl_tags,gen_sg,gen_sg_tags,gen_pl,gen_pl_tags,dat_sg,dat_sg_tags,dat_pl,dat_pl_tags,acc_sg,acc_sg_tags,acc_pl,acc_pl_tags,inst_sg,inst_sg_tags,inst_pl,inst_pl_tags,prep_sg,prep_sg_tags,prep_pl,prep_pl_tags,irreg_decl,accent_chg,multi_vars
вагон,ваго'н,н,m,"wagon, car, carriage, coach",False,False,False,False,,,ваго'н,,ваго'ны,,ваго'на,,ваго'нов,,ваго'ну,,ваго'нам,,ваго'н,,ваго'ны,,ваго'ном,,ваго'нами,,ваго'не,,ваго'нах,,,,
ваза,ва'за,а,f,"vase, bowl",False,False,False,False,,,ва'за,,ва'зы,,ва'зы,,ва'з,,ва'зе,,ва'зам,,ва'зу,,ва'зы,,ва'зой/ва'зою,"#__m, ",ва'зами,,ва'зе,,ва'зах,,,,inst_sg
ванна,ва'нна,а,f,bath,False,False,False,False,,,ва'нна,,ва'нны,,ва'нны,,ва'нн,,ва'нне,,ва'ннам,,ва'нну,,ва'нны,,ва'нной/ва'нною,"#__m, ",ва'ннами,,ва'нне,,ва'ннах,,,,inst_sg
ванная,ва'нная,я,f,bathroom,False,False,False,False,,,ва'нная,,ва'нные,"#i__, irreg_decl:0",ва'нной,"#i__, irreg_decl:0",ва'нных,"#i__, irreg_decl:0",ва'нной,"#i__, irreg_decl:0",ва'нным,"#i__, irreg_decl:0",ва'нную,"#i__, irreg_decl:0",ва'нные,"#i__, irreg_decl:0",ва'нной/ва'нною,"#i_m, irreg_decl:0",ва'нными,"#i__, irreg_decl:0",ва'нной,"#i__, irreg_decl:0",ва'нных,"#i__, irreg_decl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",,inst_sg
ваш,ва'ш,ш,,your; yours,,False,False,False,,,ва'ш/ва'ша/ва'ше,"#i_m, irreg_decl:1:2",ва'ши,"#ia_, irreg_decl:0, accent_chg:0",ва'шего/ва'шей/ва'шего,"#iam, irreg_decl:0:1:2, accent_chg:0:1:2",ва'ших,"#ia_, irreg_decl:0, accent_chg:0",ва'шему/ва'шей/ва'шему,"#iam, irreg_decl:0:1:2, accent_chg:0:1:2",ва'шим,"#ia_, irreg_decl:0, accent_chg:0",ва'ш/ва'шу/ва'ше,"#i_m, irreg_decl:1:2",ва'ших,"#ia_, irreg_decl:0, accent_chg:0",ва'шим/ва'шей/ва'шим,"#iam, irreg_decl:0:1:2, accent_chg:0:1:2",ва'шими,"#ia_, irreg_decl:0, accent_chg:0",ва'шем/ва'шей/ва'шем,"#iam, irreg_decl:0:1:2, accent_chg:0:1:2",ва'ших,"#ia_, irreg_decl:0, accent_chg:0","nom_sg:1:2,nom_pl:0,gen_sg:0:1:2,gen_pl:0,dat_sg:0:1:2,dat_pl:0,acc_sg:1:2,acc_pl:0,inst_sg:0:1:2,inst_pl:0,prep_sg:0:1:2,prep_pl:0","nom_pl:0,gen_sg:0:1:2,gen_pl:0,dat_sg:0:1:2,dat_pl:0,acc_pl:0,inst_sg:0:1:2,inst_pl:0,prep_sg:0:1:2,prep_pl:0","nom_sg,gen_sg,dat_sg,acc_sg,inst_sg,prep_sg"
век,ве'к,к,m,"century; age / epoch, era, for ages, lifetime",False,False,False,False,,,ве'к,,века',"#ia_, irreg_decl:0, accent_chg:0",ве'ка,,веко'в,"#_a_, accent_chg:0",ве'ку,,века'м,"#_a_, accent_chg:0",ве'к,,века',"#ia_, irreg_decl:0, accent_chg:0",ве'ком,,века'ми,"#_a_, accent_chg:0",ве'ке,,века'х,"#_a_, accent_chg:0","nom_pl:0,acc_pl:0","nom_pl:0,gen_pl:0,dat_pl:0,acc_pl:0,inst_pl:0,prep_pl:0",
веко,ве'ко,о,n,eyelid,False,False,False,False,,,ве'ко,,ве'ки,"#i__, irreg_decl:0",ве'ка,,ве'к,,ве'ку,,ве'кам,,ве'ко,,ве'ки,"#i__, irreg_decl:0",ве'ком,,ве'ками,,ве'ке,,ве'ках,,"nom_pl:0,acc_pl:0",,
велик,ве'лик,к,m,bike (colloquial for bicycle),False,False,False,False,,,ве'лик,,ве'лики,,ве'лика,,ве'ликов,,ве'лику,,ве'ликам,,ве'лик,,ве'лики,,ве'ликом,,ве'ликами,,ве'лике,,ве'ликах,,,,
велосипед,велосипе'д,д,m,"bicycle, cycle, bike, tricycle",False,False,False,False,,,велосипе'д,,велосипе'ды,,велосипе'да,,велосипе'дов,,велосипе'ду,,велосипе'дам,,велосипе'д,,велосипе'ды,,велосипе'дом,,велосипе'дами,,велосипе'де,,велосипе'дах,,,,
вера,ве'ра,а,f,"faith, belief, trust",False,False,False,False,,,ве'ра,,ве'ры,,ве'ры,,ве'р,,ве'ре,,ве'рам,,ве'ру,,ве'ры,,ве'рой/ве'рою,"#__m, ",ве'рами,,ве'ре,,ве'рах,,,,inst_sg
