bare_form,accented_form,suffix,translations,is_incomparable,usage,nom_m,nom_m_tags,nom_f,nom_f_tags,nom_n,nom_n_tags,nom_pl,nom_pl_tags,gen_m,gen_m_tags,gen_f,gen_f_tags,gen_n,gen_n_tags,gen_pl,gen_pl_tags,dat_m,dat_m_tags,dat_f,dat_f_tags,dat_n,dat_n_tags,dat_pl,dat_pl_tags,acc_m,acc_m_tags,acc_f,acc_f_tags,acc_n,acc_n_tags,acc_pl,acc_pl_tags,inst_m,inst_m_tags,inst_f,inst_f_tags,inst_n,inst_n_tags,inst_pl,inst_pl_tags,prep_m,prep_m_tags,prep_f,prep_f_tags,prep_n,prep_n_tags,prep_pl,prep_pl_tags,short_m,short_m_tags,short_f,short_f_tags,short_n,short_n_tags,short_pl,short_pl_tags,comparative,comparative_tags,superlative,superlative_tags,irreg_decl,accent_chg,multi_vars
детский,де'тский,кий,"children's, childish, infantile, puerile, childlike, child; baby",False,,де'тский,,де'тская,,де'тское,,де'тские,,де'тского,,де'тской,,де'тского,,де'тских,,де'тскому,,де'тской,,де'тскому,,де'тским,,де'тский/де'тского,"#__m, ",де'тскую,,де'тское,,де'тские/де'тских,"#__m, ",де'тским,,де'тской/(де'тскою),"#__m, ",де'тским,,де'тскими,,де'тском,,де'тской,,де'тском,,де'тских,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
дешёвый,дешё'вый,вый,"cheap, inexpensive, low (of a price or quality)",False,,дешё'вый,,дешё'вая,,дешё'вое,,дешё'вые,,дешё'вого,,дешё'вой,,дешё'вого,,дешё'вых,,дешё'вому,,дешё'вой,,дешё'вому,,дешё'вым,,дешё'вый/дешё'вого,"#__m, ",дешё'вую,,дешё'вое,,дешё'вые/дешё'вых,"#__m, ",дешё'вым,,дешё'вой/(дешё'вою),"#__m, ",дешё'вым,,дешё'выми,,дешё'вом,,дешё'вой,,дешё'вом,,дешё'вых,,дё'шев,"#ia_, irreg_decl:0, accent_chg:0",дешева',"#ia_, irreg_decl:0, accent_chg:0",дё'шево,"#ia_, irreg_decl:0, accent_chg:0",дё'шевы,"#ia_, irreg_decl:0, accent_chg:0",деше'вле,"#i__, irreg_decl:0",дешеве'йший,"#ia_, irreg_decl:0, accent_chg:0","short_m:0,short_f:0,short_n:0,short_pl:0,comparative:0,superlative:0","short_m:0,short_f:0,short_n:0,short_pl:0,superlative:0","acc_m,acc_pl,inst_f"
диалоговый,диалоговый,вый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
длинный,дли'нный,ный,"long, lengthy",False,,дли'нный,,дли'нная,,дли'нное,,дли'нные,,дли'нного,,дли'нной,,дли'нного,,дли'нных,,дли'нному,,дли'нной,,дли'нному,,дли'нным,,дли'нный/дли'нного,"#__m, ",дли'нную,,дли'нное,,дли'нные/дли'нных,"#__m, ",дли'нным,,дли'нной/(дли'нною),"#__m, ",дли'нным,,дли'нными,,дли'нном,,дли'нной,,дли'нном,,дли'нных,,дли'нен,"#i__, irreg_decl:0",длинна',"#_a_, accent_chg:0",длинно',"#_a_, accent_chg:0",длинны',"#_a_, accent_chg:0",длинне'е,,длинне'йший,,short_m:0,"short_f:0,short_n:0,short_pl:0","acc_m,acc_pl,inst_f"
добрый,до'брый,рый,good; kind,False,добрая воля:  goodwill,до'брый,,до'брая,,до'брое,,до'брые,,до'брого,,до'брой,,до'брого,,до'брых,,до'брому,,до'брой,,до'брому,,до'брым,,до'брого/до'брый,"#__m, ",до'брую,,до'брое,,до'брых/до'брые,"#__m, ",до'брым,,до'брой/до'брою,"#__m, ",до'брым,,до'брыми,,до'бром,,до'брой,,до'бром,,до'брых,,до'бр,,добра',"#_a_, accent_chg:0",до'бро,,до'бры/добры',"#_am, accent_chg:1",добре'е,,добре'йший,,,"short_f:0,short_pl:1","acc_m,acc_pl,inst_f,short_pl"
доказанный,дока'занный,ный,proven,False,,дока'занный,,дока'занная,,дока'занное,,дока'занные,,дока'занного,,дока'занной,,дока'занного,,дока'занных,,дока'занному,,дока'занной,,дока'занному,,дока'занным,,дока'занный,,дока'занную,,дока'занное,,дока'занные,,дока'занным,,дока'занной,,дока'занным,,дока'занными,,дока'занном,,дока'занной,,дока'занном,,дока'занных,,дока'зан,"#i__, irreg_decl:0",дока'зана,"#i__, irreg_decl:0",дока'зано,"#i__, irreg_decl:0",дока'заны,"#i__, irreg_decl:0",,,,,"short_m:0,short_f:0,short_n:0,short_pl:0",,
долгий,до'лгий,гий,"long, of long duration",False,,до'лгий,,до'лгая,,до'лгое,,до'лгие,,до'лгого,,до'лгой,,до'лгого,,до'лгих,,до'лгому,,до'лгой,,до'лгому,,до'лгим,,до'лгий/до'лгого,"#__m, ",до'лгую,,до'лгое,,до'лгие/до'лгих,"#__m, ",до'лгим,,до'лгой/(до'лгою),"#__m, ",до'лгим,,до'лгими,,до'лгом,,до'лгой,,до'лгом,,до'лгих,,до'лог,"#i__, irreg_decl:0",долга',"#_a_, accent_chg:0",до'лго,,до'лги,,до'льше/до'лее,"#i_m, irreg_decl:0:1",должа'йший,,"short_m:0,comparative:0:1",short_f:0,"acc_m,acc_pl,inst_f,comparative"
должный,до'лжный,ный,"due, owing; must, need to, have (got) to, should",False,"до́лжен alone = obligation: must\nдо́лжен + быть = necessity: have to\nOther ways to express necessity:\nНужно, надо: have to/ ought to have",до'лжный,,до'лжная,,до'лжное,,до'лжные,,до'лжного,,до'лжной,,до'лжного,,до'лжных,,до'лжному,,до'лжной,,до'лжному,,до'лжным,,до'лжный/до'лжного,"#__m, ",до'лжную,,до'лжное,,до'лжные/до'лжных,"#__m, ",до'лжным,,до'лжной/(до'лжною),"#__m, ",до'лжным,,до'лжными,,до'лжном,,до'лжной,,до'лжном,,до'лжных,,до'лжен,"#i__, irreg_decl:0",должна',"#_a_, accent_chg:0",должно',"#_a_, accent_chg:0",должны',"#_a_, accent_chg:0",,,,,short_m:0,"short_f:0,short_n:0,short_pl:0","acc_m,acc_pl,inst_f"
долларовый,до'лларовый,вый,dollar,,,до'лларовый,,до'лларовая,,до'лларовое,,до'лларовые,,до'лларового,,до'лларовой,,до'лларового,,до'лларовых,,до'лларовому,,до'лларовой,,до'лларовому,,до'лларовым,,до'лларовый/до'лларового,"#__m, ",до'лларовую,,до'лларовое,,до'лларовые/до'лларовых,"#__m, ",до'лларовым,,до'лларовой/до'лларовою,"#__m, ",до'лларовым,,до'лларовыми,,до'лларовом,,до'лларовой,,до'лларовом,,до'лларовых,,до'лларов,,до'лларова,,до'лларово,,до'лларовы,,,,,,,,"acc_m,acc_pl,inst_f"
домашний,дома'шний,ний,"(relational) house / home, family, domestic; home-made, home-spun",False,домашние птицы - poultry,дома'шний,,дома'шняя,,дома'шнее,,дома'шние,,дома'шнего,,дома'шней,,дома'шнего,,дома'шних,,дома'шнему,,дома'шней,,дома'шнему,,дома'шним,,дома'шний/дома'шнего,"#__m, ",дома'шнюю,,дома'шнее,,дома'шние/дома'шних,"#__m, ",дома'шним,,дома'шней/дома'шнею,"#__m, ",дома'шним,,дома'шними,,дома'шнем,,дома'шней,,дома'шнем,,дома'шних,,дома'шен,"#i__, irreg_decl:0",дома'шня,,дома'шне,,дома'шни,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
домовый,домо'вый,вый,Adjective of дом,,,домо'вый,,домо'вая,,домо'вое,,домо'вые,,домо'вого,,домо'вой,,домо'вого,,домо'вых,,домо'вому,,домо'вой,,домо'вому,,домо'вым,,домо'вый/домо'вого,"#__m, ",домо'вую,,домо'вое,,домо'вые/домо'вых,"#__m, ",домо'вым,,домо'вой/домо'вою,"#__m, ",домо'вым,,домо'выми,,домо'вом,,домо'вой,,домо'вом,,домо'вых,,домо'в,,домо'ва,,домо'во,,домо'вы,,,,,,,,"acc_m,acc_pl,inst_f"
дорогой,дорого'й,гой,"expensive, costly, precious; dear, darling",False,,дорого'й,,дорога'я,,дорого'е,,дороги'е,,дорого'го,,дорого'й,,дорого'го,,дороги'х,,дорого'му,,дорого'й,,дорого'му,,дороги'м,,дорого'й/дорого'го,"#__m, ",дорогу'ю,,дорого'е,,дороги'е/дороги'х,"#__m, ",дороги'м,,дорого'й/(дорого'ю),"#__m, ",дороги'м,,дороги'ми,,дорого'м,,дорого'й,,дорого'м,,дороги'х,,до'рог,"#_a_, accent_chg:0",дорога',,до'рого,"#_a_, accent_chg:0",до'роги,"#_a_, accent_chg:0",доро'же,,дорожа'йший,,,"short_m:0,short_n:0,short_pl:0","acc_m,acc_pl,inst_f"
достаточный,доста'точный,ный,enough,False,,доста'точный,,доста'точная,,доста'точное,,доста'точные,,доста'точного,,доста'точной,,доста'точного,,доста'точных,,доста'точному,,доста'точной,,доста'точному,,доста'точным,,доста'точный/доста'точного,"#__m, ",доста'точную,,доста'точное,,доста'точные/доста'точных,"#__m, ",доста'точным,,доста'точной/(доста'точною),"#__m, ",доста'точным,,доста'точными,,доста'точном,,доста'точной,,доста'точном,,доста'точных,,доста'точен,"#i__, irreg_decl:0",доста'точна,,доста'точно,,доста'точны,,доста'точнее,,доста'точнейший,,short_m:0,,"acc_m,acc_pl,inst_f"
доступный,досту'пный,ный,available; accessible,False,,досту'пный,,досту'пная,,досту'пное,,досту'пные,,досту'пного,,досту'пной,,досту'пного,,досту'пных,,досту'пному,,досту'пной,,досту'пному,,досту'пным,,досту'пный/досту'пного,"#__m, ",досту'пную,,досту'пное,,досту'пные/досту'пных,"#__m, ",досту'пным,,досту'пной/(досту'пною),"#__m, ",досту'пным,,досту'пными,,досту'пном,,досту'пной,,досту'пном,,досту'пных,,досту'пен,"#i__, irreg_decl:0",досту'пна,,досту'пно,,досту'пны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
древний,дре'вний,ний,ancient,False,,дре'вний,,дре'вняя,,дре'внее,,дре'вние,,дре'внего,,дре'вней,,дре'внего,,дре'вних,,дре'внему,,дре'вней,,дре'внему,,дре'вним,,дре'вний/дре'внего,"#__m, ",дре'внюю,,дре'внее,,дре'вние/дре'вних,"#__m, ",дре'вним,,дре'вней/(дре'внею),"#__m, ",дре'вним,,дре'вними,,дре'внем,,дре'вней,,дре'внем,,дре'вних,,дре'вен,"#i__, irreg_decl:0",дре'вня,,дре'вне,,дре'вни,,древне'е/подревне'е,"#_am, accent_chg:1",древне'йший,,short_m:0,comparative:1,"acc_m,acc_pl,inst_f,comparative"
другое,друго'е,гое,"another, different, otherwise, both",False,"Noun, inanimate, neuter and adjective nominative/accusative singular neuter of друго́й",друго'й,"#i__, irreg_decl:0",друга'я,,друго'е,,други'е,,друго'го,,друго'й,,друго'го,,други'х,,друго'му,,друго'й,,друго'му,,други'м,,друго'го/друго'й,"#i_m, irreg_decl:1",другу'ю,,друго'е,,други'х/други'е,"#__m, ",други'м,,друго'й/друго'ю,"#__m, ",други'м,,други'ми,,друго'м,,друго'й,,друго'м,,други'х,,,,,,,,,,,,,,"nom_m:0,acc_m:1",,"acc_m,acc_pl,inst_f"
другой,друго'й,гой,"other, another, another thing, something else, others, the rest",False,по-другому: in a different way\nничего́ друго́го - nothing else,друго'й,,друга'я,,друго'е,,други'е,,друго'го,,друго'й,,друго'го,,други'х,,друго'му,,друго'й,,друго'му,,други'м,,друго'й/друго'го,"#__m, ",другу'ю,,друго'е,,други'е/други'х,"#__m, ",други'м,,друго'й/друго'ю,"#__m, ",други'м,,други'ми,,друго'м,,друго'й,,друго'м,,други'х,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
дружеский,дру'жеский,кий,friendly,False,,дру'жеский,,дру'жеская,,дру'жеское,,дру'жеские,,дру'жеского,,дру'жеской,,дру'жеского,,дру'жеских,,дру'жескому,,дру'жеской,,дру'жескому,,дру'жеским,,дру'жеский/дру'жеского,"#__m, ",дру'жескую,,дру'жеское,,дру'жеские/дру'жеских,"#__m, ",дру'жеским,,дру'жеской/(дру'жескою),"#__m, ",дру'жеским,,дру'жескими,,дру'жеском,,дру'жеской,,дру'жеском,,дру'жеских,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
европейский,европе'йский,кий,European,,,европе'йский,,европе'йская,,европе'йское,,европе'йские,,европе'йского,,европе'йской,,европе'йского,,европе'йских,,европе'йскому,,европе'йской,,европе'йскому,,европе'йским,,европе'йский/европе'йского,"#__m, ",европе'йскую,,европе'йское,,европе'йские/европе'йских,"#__m, ",европе'йским,,европе'йской/(европе'йскою),"#__m, ",европе'йским,,европе'йскими,,европе'йском,,европе'йской,,европе'йском,,европе'йских,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
единственный,еди'нственный,ный,the only/sole,False,,еди'нственный,,еди'нственная,,еди'нственное,,еди'нственные,,еди'нственного,,еди'нственной,,еди'нственного,,еди'нственных,,еди'нственному,,еди'нственной,,еди'нственному,,еди'нственным,,еди'нственный/еди'нственного,"#__m, ",еди'нственную,,еди'нственное,,еди'нственные/еди'нственных,"#__m, ",еди'нственным,,еди'нственной/(еди'нственною),"#__m, ",еди'нственным,,еди'нственными,,еди'нственном,,еди'нственной,,еди'нственном,,еди'нственных,,еди'нственен,"#i__, irreg_decl:0",еди'нственна,,еди'нственно,,еди'нственны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
ежедневный,ежедне'вный,ный,daily everyday,False,,ежедне'вный,,ежедне'вная,,ежедне'вное,,ежедне'вные,,ежедне'вного,,ежедне'вной,,ежедне'вного,,ежедне'вных,,ежедне'вному,,ежедне'вной,,ежедне'вному,,ежедне'вным,,ежедне'вный,,ежедне'вную,,ежедне'вное,,ежедне'вные,,ежедне'вным,,ежедне'вной,,ежедне'вным,,ежедне'вными,,ежедне'вном,,ежедне'вной,,ежедне'вном,,ежедне'вных,,,,,,,,,,,,,,,,
естественный,есте'ственный,ный,natural,False,>< напряжённый,есте'ственный,,есте'ственная,,есте'ственное,,есте'ственные,,есте'ственного,,есте'ственной,,есте'ственного,,есте'ственных,,есте'ственному,,есте'ственной,,есте'ственному,,есте'ственным,,есте'ственный/есте'ственного,"#__m, ",есте'ственную,,есте'ственное,,есте'ственные/есте'ственных,"#__m, ",есте'ственным,,есте'ственной/(есте'ственною),"#__m, ",есте'ственным,,есте'ственными,,есте'ственном,,есте'ственной,,есте'ственном,,есте'ственных,,есте'ственен,"#i__, irreg_decl:0",есте'ственна,,есте'ственно,,есте'ственны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
жаркий,жа'ркий,кий,hot,False,,жа'ркий,,жа'ркая,,жа'ркое,,жа'ркие,,жа'ркого,,жа'ркой,,жа'ркого,,жа'рких,,жа'ркому,,жа'ркой,,жа'ркому,,жа'рким,,жа'ркого/жа'ркий,"#__m, ",жа'ркую,,жа'ркое,,жа'рких/жа'ркие,"#__m, ",жа'рким,,жа'ркой/жа'ркою,"#__m, ",жа'рким,,жа'ркими,,жа'рком,,жа'ркой,,жа'рком,,жа'рких,,жа'рок,"#i__, irreg_decl:0",жарка',"#_a_, accent_chg:0",жа'рко,,жа'рки,,жа'рче,,жарча'йший,,short_m:0,short_f:0,"acc_m,acc_pl,inst_f"
железный,желе'зный,ный,iron (adj),False,железная дорога - railway (often abbreviated as: жд),желе'зный,,желе'зная,,желе'зное,,желе'зные,,желе'зного,,желе'зной,,желе'зного,,желе'зных,,желе'зному,,желе'зной,,желе'зному,,желе'зным,,желе'зный/желе'зного,"#__m, ",желе'зную,,желе'зное,,желе'зные/желе'зных,"#__m, ",желе'зным,,желе'зной/(желе'зною),"#__m, ",желе'зным,,желе'зными,,желе'зном,,желе'зной,,желе'зном,,желе'зных,,желе'зен,"#i__, irreg_decl:0",желе'зна,,желе'зно,,желе'зны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
женский,же'нский,кий,"female, womanlike, womanly, feminine, women's",False,,же'нский,,же'нская,,же'нское,,же'нские,,же'нского,,же'нской,,же'нского,,же'нских,,же'нскому,,же'нской,,же'нскому,,же'нским,,же'нского/же'нский,"#__m, ",же'нскую,,же'нское,,же'нских/же'нские,"#__m, ",же'нским,,же'нской/же'нскою,"#__m, ",же'нским,,же'нскими,,же'нском,,же'нской,,же'нском,,же'нских,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
животный,живо'тный,ный,animal,False,,живо'тный,,живо'тная,,живо'тное,,живо'тные,,живо'тного,,живо'тной,,живо'тного,,живо'тных,,живо'тному,,живо'тной,,живо'тному,,живо'тным,,живо'тный/живо'тного,"#__m, ",живо'тную,,живо'тное,,живо'тные/живо'тных,"#__m, ",живо'тным,,живо'тной/(живо'тною),"#__m, ",живо'тным,,живо'тными,,живо'тном,,живо'тной,,живо'тном,,живо'тных,,живо'тен,"#i__, irreg_decl:0",живо'тна,,живо'тно,,живо'тны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
живущий,живу'щий,щий,living,True,,живу'щий,,живу'щая,,живу'щее,,живу'щие,,живу'щего,,живу'щей,,живу'щего,,живу'щих,,живу'щему,,живу'щей,,живу'щему,,живу'щим,,живу'щий,,живу'щую,,живу'щее,,живу'щие,,живу'щим,,живу'щей,,живу'щим,,живу'щими,,живу'щем,,живу'щей,,живу'щем,,живу'щих,,,,,,,,,,,,,,,,
жизненный,жи'зненный,ный,"life, vital, lifelike, essential",False,,жи'зненный,,жи'зненная,,жи'зненное,,жи'зненные,,жи'зненного,,жи'зненной,,жи'зненного,,жи'зненных,,жи'зненному,,жи'зненной,,жи'зненному,,жи'зненным,,жи'зненный/жи'зненного,"#__m, ",жи'зненную,,жи'зненное,,жи'зненные/жи'зненных,"#__m, ",жи'зненным,,жи'зненной/(жи'зненною),"#__m, ",жи'зненным,,жи'зненными,,жи'зненном,,жи'зненной,,жи'зненном,,жи'зненных,,жи'знен,"#i__, irreg_decl:0",жи'зненна,,жи'зненно,,жи'зненны,,,,,,short_m:0,,"acc_m,acc_pl,inst_f"
жёлтый,жё'лтый,тый,yellow,False,,жё'лтый,,жё'лтая,,жё'лтое,,жё'лтые,,жё'лтого,,жё'лтой,,жё'лтого,,жё'лтых,,жё'лтому,,жё'лтой,,жё'лтому,,жё'лтым,,жё'лтый/жё'лтого,"#__m, ",жё'лтую,,жё'лтое,,жё'лтые/жё'лтых,"#__m, ",жё'лтым,,жё'лтой/(жё'лтою),"#__m, ",жё'лтым,,жё'лтыми,,жё'лтом,,жё'лтой,,жё'лтом,,жё'лтых,,жё'лт,,желта',"#ia_, irreg_decl:0, accent_chg:0",жё'лто/желто',"#iam, irreg_decl:1, accent_chg:1",жё'лты/желты',"#iam, irreg_decl:1, accent_chg:1",желте'е,"#ia_, irreg_decl:0, accent_chg:0",желте'йший,"#i__, irreg_decl:0","short_f:0,short_n:1,short_pl:1,comparative:0,superlative:0","short_f:0,short_n:1,short_pl:1,comparative:0","acc_m,acc_pl,inst_f,short_n,short_pl"
заброшенный,забро'шенный,ный,"derelict, neglected, deserted; abandoned",False,,забро'шенный,,забро'шенная,,забро'шенное,,забро'шенные,,забро'шенного,,забро'шенной,,забро'шенного,,забро'шенных,,забро'шенному,,забро'шенной,,забро'шенному,,забро'шенным,,забро'шенный/забро'шенного,"#__m, ",забро'шенную,,забро'шенное,,забро'шенные/забро'шенных,"#__m, ",забро'шенным,,забро'шенной/(забро'шенною),"#__m, ",забро'шенным,,забро'шенными,,забро'шенном,,забро'шенной,,забро'шенном,,забро'шенных,,забро'шен,"#i__, irreg_decl:0",забро'шена,"#i__, irreg_decl:0",забро'шено,"#i__, irreg_decl:0",забро'шены,"#i__, irreg_decl:0",,,,,"short_m:0,short_f:0,short_n:0,short_pl:0",,"acc_m,acc_pl,inst_f"
забытый,забы'тый,тый,"lost, forgotten",False,,забы'тый,,забы'тая,,забы'тое,,забы'тые,,забы'того,,забы'той,,забы'того,,забы'тых,,забы'тому,,забы'той,,забы'тому,,забы'тым,,забы'тый/забы'того,"#__m, ",забы'тую,,забы'тое,,забы'тые/забы'тых,"#__m, ",забы'тым,,забы'той/(забы'тою),"#__m, ",забы'тым,,забы'тыми,,забы'том,,забы'той,,забы'том,,забы'тых,,забы'т,,забы'та,,забы'то,,забы'ты,,,,,,,,"acc_m,acc_pl,inst_f"
заинтересованный,заинтересо'ванный,ный,interested,False,,заинтересо'ванный,,заинтересо'ванная,,заинтересо'ванное,,заинтересо'ванные,,заинтересо'ванного,,заинтересо'ванной,,заинтересо'ванного,,заинтересо'ванных,,заинтересо'ванному,,заинтересо'ванной,,заинтересо'ванному,,заинтересо'ванным,,заинтересо'ванный/заинтересо'ванного,"#__m, ",заинтересо'ванную,,заинтересо'ванное,,заинтересо'ванные/заинтересо'ванных,"#__m, ",заинтересо'ванным,,заинтересо'ванной/заинтересо'ванною,"#__m, ",заинтересо'ванным,,заинтересо'ванными,,заинтересо'ванном,,заинтересо'ванной,,заинтересо'ванном,,заинтересо'ванных,,заинтересо'ван,"#i__, irreg_decl:0",заинтересо'вана,"#i__, irreg_decl:0",заинтересо'вано,"#i__, irreg_decl:0",заинтересо'ваны,"#i__, irreg_decl:0",,,,,"short_m:0,short_f:0,short_n:0,short_pl:0",,"acc_m,acc_pl,inst_f"
закрытый,закры'тый,тый,closed,False,,закры'тый,,закры'тая,,закры'тое,,закры'тые,,закры'того,,закры'той,,закры'того,,закры'тых,,закры'тому,,закры'той,,закры'тому,,закры'тым,,закры'тый/закры'того,"#__m, ",закры'тую,,закры'тое,,закры'тые/закры'тых,"#__m, ",закры'тым,,закры'той/(закры'тою),"#__m, ",закры'тым,,закры'тыми,,закры'том,,закры'той,,закры'том,,закры'тых,,закры'т,,закры'та,,закры'то,,закры'ты,,,,,,,,"acc_m,acc_pl,inst_f"
заметный,заме'тный,ный,noticeable,False,,заме'тный,,заме'тная,,заме'тное,,заме'тные,,заме'тного,,заме'тной,,заме'тного,,заме'тных,,заме'тному,,заме'тной,,заме'тному,,заме'тным,,заме'тный/заме'тного,"#__m, ",заме'тную,,заме'тное,,заме'тные/заме'тных,"#__m, ",заме'тным,,заме'тной/(заме'тною),"#__m, ",заме'тным,,заме'тными,,заме'тном,,заме'тной,,заме'тном,,заме'тных,,заме'тен,"#i__, irreg_decl:0",заме'тна,,заме'тно,,заме'тны,,заме'тнее,,,,short_m:0,,"acc_m,acc_pl,inst_f"
замковый,замко'вый,вый,Adjective of замок,,,замко'вый,,замко'вая,,замко'вое,,замко'вые,,замко'вого,,замко'вой,,замко'вого,,замко'вых,,замко'вому,,замко'вой,,замко'вому,,замко'вым,,замко'вый/замко'вого,"#__m, ",замко'вую,,замко'вое,,замко'вые/замко'вых,"#__m, ",замко'вым,,замко'вой/замко'вою,"#__m, ",замко'вым,,замко'выми,,замко'вом,,замко'вой,,замко'вом,,замко'вых,,замко'в,,замко'ва,,замко'во,,замко'вы,,,,,,,,"acc_m,acc_pl,inst_f"
замковый,за'мковый,вый,Adjective of замок,,,за'мковый,,за'мковая,,за'мковое,,за'мковые,,за'мкового,,за'мковой,,за'мкового,,за'мковых,,за'мковому,,за'мковой,,за'мковому,,за'мковым,,за'мковый/за'мкового,"#__m, ",за'мковую,,за'мковое,,за'мковые/за'мковых,"#__m, ",за'мковым,,за'мковой/за'мковою,"#__m, ",за'мковым,,за'мковыми,,за'мковом,,за'мковой,,за'мковом,,за'мковых,,за'мков,,за'мкова,,за'мково,,за'мковы,,,,,,,,"acc_m,acc_pl,inst_f"
занятый,за'нятый,тый,"busy; occupied, taken, filled",False,,за'нятый,,за'нятая,,за'нятое,,за'нятые,,за'нятого,,за'нятой,,за'нятого,,за'нятых,,за'нятому,,за'нятой,,за'нятому,,за'нятым,,за'нятый/за'нятого,"#__m, ",за'нятую,,за'нятое,,за'нятые/за'нятых,"#__m, ",за'нятым,,за'нятой/(за'нятою),"#__m, ",за'нятым,,за'нятыми,,за'нятом,,за'нятой,,за'нятом,,за'нятых,,за'нят,,занята',"#_a_, accent_chg:0",за'нято,,за'няты,,,,,,,short_f:0,"acc_m,acc_pl,inst_f"
западногерманский,западногерма'нский,кий,West German,,,западногерма'нский,,западногерма'нская,,западногерма'нское,,западногерма'нские,,западногерма'нского,,западногерма'нской,,западногерма'нского,,западногерма'нских,,западногерма'нскому,,западногерма'нской,,западногерма'нскому,,западногерма'нским,,западногерма'нский/западногерма'нского,"#__m, ",западногерма'нскую,,западногерма'нское,,западногерма'нские/западногерма'нских,"#__m, ",западногерма'нским,,западногерма'нской/западногерма'нскою,"#__m, ",западногерма'нским,,западногерма'нскими,,западногерма'нском,,западногерма'нской,,западногерма'нском,,западногерма'нских,,западногерма'нск,,западногерма'нска,,западногерма'нско,,западногерма'нски,,,,,,,,"acc_m,acc_pl,inst_f"
западный,за'падный,ный,west,False,,за'падный,,за'падная,,за'падное,,за'падные,,за'падного,,за'падной,,за'падного,,за'падных,,за'падному,,за'падной,,за'падному,,за'падным,,за'падный/за'падного,"#__m, ",за'падную,,за'падное,,за'падные/за'падных,"#__m, ",за'падным,,за'падной/(за'падною),"#__m, ",за'падным,,за'падными,,за'падном,,за'падной,,за'падном,,за'падных,,,,,,,,,,,,,,,,"acc_m,acc_pl,inst_f"
зарегистрированный,зарегистри'рованный,ный,"registered, recorded, filed, on record",False,Participle of зарегистри́ровать,зарегистри'рованный,,зарегистри'рованная,,зарегистри'рованное,,зарегистри'рованные,,зарегистри'рованного,,зарегистри'рованной,,зарегистри'рованного,,зарегистри'рованных,,зарегистри'рованному,,зарегистри'рованной,,зарегистри'рованному,,зарегистри'рованным,,зарегистри'рованного/зарегистри'рованный,"#__m, ",зарегистри'рованную,,зарегистри'рованное,,зарегистри'рованных/зарегистри'рованные,"#__m, ",зарегистри'рованным,,зарегистри'рованной/зарегистри'рованною,"#__m, ",зарегистри'рованным,,зарегистри'рованными,,зарегистри'рованном,,зарегистри'рованной,,зарегистри'рованном,,зарегистри'рованных,,зарегистри'рован,"#i__, irreg_decl:0",зарегистри'рована,"#i__, irreg_decl:0",зарегистри'ровано,"#i__, irreg_decl:0",зарегистри'рованы,"#i__, irreg_decl:0",,,,,"short_m:0,short_f:0,short_n:0,short_pl:0",,"acc_m,acc_pl,inst_f"
здоровый,здоро'вый,вый,healthy,False,,здоро'вый,,здоро'вая,,здоро'вое,,здоро'вые,,здоро'вого,,здоро'вой,,здоро'вого,,здоро'вых,,здоро'вому,,здоро'вой,,здоро'вому,,здоро'вым,,здоро'вый/здоро'вого,"#__m, ",здоро'вую,,здоро'вое,,здоро'вые/здоро'вых,"#__m, ",здоро'вым,,здоро'вой/здоро'вою,"#__m, ",здоро'вым,,здоро'выми,,здоро'вом,,здоро'вой,,здоро'вом,,здоро'вых,,здоро'в,,здоро'ва,,здоро'во,,здоро'вы,,здорове'е,"#_a_, accent_chg:0",,,,comparative:0,"acc_m,acc_pl,inst_f"
зелёный,зелё'ный,ный,green,False,,зелё'ный,,зелё'ная,,зелё'ное,,зелё'ные,,зелё'ного,,зелё'ной,,зелё'ного,,зелё'ных,,зелё'ному,,зелё'ной,,зелё'ному,,зелё'ным,,зелё'ный/зелё'ного,"#__m, ",зелё'ную,,зелё'ное,,зелё'ные/зелё'ных,"#__m, ",зелё'ным,,зелё'ной/зелё'ною,"#__m, ",зелё'ным,,зелё'ными,,зелё'ном,,зелё'ной,,зелё'ном,,зелё'ных,,зе'лен,"#ia_, irreg_decl:0, accent_chg:0",зелена',"#ia_, irreg_decl:0, accent_chg:0",зе'лено,"#ia_, irreg_decl:0, accent_chg:0",зе'лены/зелены',"#iam, irreg_decl:0:1, accent_chg:0:1",зелене'е,"#ia_, irreg_decl:0, accent_chg:0",зелене'йший,"#ia_, irreg_decl:0, accent_chg:0","short_m:0,short_f:0,short_n:0,short_pl:0:1,comparative:0,superlative:0","short_m:0,short_f:0,short_n:0,short_pl:0:1,comparative:0,superlative:0","acc_m,acc_pl,inst_f,short_pl"
