bare_form,accented_form,last_letter,gender,translations,is_animate,is_indeclinable,is_sg_only,is_pl_only,partner,usage,nom_sg,nom_sg_tags,nom_pl,nom_pl_tags,gen_sg,gen_sg_tags,gen_pl,gen_pl_tags,dat_sg,dat_sg_tags,dat_pl,dat_pl_tags,acc_sg,acc_sg_tags,acc_pl,acc_pl_tags,inst_sg,inst_sg_tags,inst_pl,inst_pl_tags,prep_sg,prep_sg_tags,prep_pl,prep_pl_tags,irreg_decl,Irreg_decl,accent_chg,multi_vars
убийца,уби'йца,а,m,"killer, assassin, murderer, murderess",True,False,False,False,,,уби'йца,,уби'йцы,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йцы,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йц,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йце,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йцам,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йцу,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йц,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йцей/уби'йцею,"#iI_m, irreg_decl:0:1, Irreg_decl:0:1",уби'йцами,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йце,"#iI__, irreg_decl:0, Irreg_decl:0",уби'йцах,"#iI__, irreg_decl:0, Irreg_decl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0:1,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0:1,inst_pl:0,prep_sg:0,prep_pl:0",,inst_sg
уважение,уваже'ние,е,n,respect,False,False,False,False,,,уваже'ние,,уваже'ния,,уваже'ния,,уваже'ний,,уваже'нию,,уваже'ниям,,уваже'ние,,уваже'ния,,уваже'нием,,уваже'ниями,,уваже'нии,,уваже'ниях,,,,,
увеличение,увеличе'ние,е,n,"increase, augmentation, extension, expansion, magnification, enlargement",False,False,False,False,,,увеличе'ние,,увеличе'ния,,увеличе'ния,,увеличе'ний,,увеличе'нию,,увеличе'ниям,,увеличе'ние,,увеличе'ния,,увеличе'нием,,увеличе'ниями,,увеличе'нии,,увеличе'ниях,,,,,
угол,у'гол,л,m,"corner, angle, home",False,False,False,False,,"The singular prepositional  form depends on the preposition: It is ""о угле́"" and ""в/на углу́""",у'гол,,углы',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",угла',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",угло'в,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",углу',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",угла'м,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'гол,,углы',"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",угло'м,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",угла'ми,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",угле'/углу',"#iIam, irreg_decl:0:1, Irreg_decl:0, accent_chg:0:1",угла'х,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0:1,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0:1,prep_pl:0",prep_sg
удаль,у'даль,ь,,"daring, boldness",False,False,False,False,,,у'даль,,у'дали,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'дали,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'далей,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'дали,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'далям,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'даль,,у'дали,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'далью,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'далями,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'дали,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",у'далях,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
удача,уда'ча,а,f,"good luck, success, good fortune",False,False,False,False,,,уда'ча,,уда'чи,,уда'чи,,уда'ч,,уда'че,,уда'чам,,уда'чу,,уда'чи,,уда'чей/уда'чею,"#___m, ",уда'чами,,уда'че,,уда'чах,,,,,inst_sg
удовольствие,удово'льствие,е,n,"pleasure, amusement",False,False,False,False,,,удово'льствие,,удово'льствия,,удово'льствия,,удово'льствий,,удово'льствию,,удово'льствиям,,удово'льствие,,удово'льствия,,удово'льствием,,удово'льствиями,,удово'льствии,,удово'льствиях,,,,,
уж,у'ж,ж,m,grass snake,True,False,False,False,,,у'ж,,ужи',"#__a_, accent_chg:0",ужа',"#__a_, accent_chg:0",уже'й,"#__a_, accent_chg:0",ужу',"#__a_, accent_chg:0",ужа'м,"#__a_, accent_chg:0",ужа',"#__a_, accent_chg:0",уже'й,"#__a_, accent_chg:0",ужо'м,"#__a_, accent_chg:0",ужа'ми,"#__a_, accent_chg:0",уже',"#__a_, accent_chg:0",ужа'х,"#__a_, accent_chg:0",,,"nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_sg:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
ужин,у'жин,н,m,"dinner, supper",False,False,False,False,,,у'жин,,у'жины,,у'жина,,у'жинов,,у'жину,,у'жинам,,у'жин,,у'жины,,у'жином,,у'жинами,,у'жине,,у'жинах,,,,,
ужин,ужи'н,н,,supper,False,False,False,False,,,ужи'н,,ужи'ны,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'на,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'нов,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'ну,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'нам,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'н,,ужи'ны,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'ном,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'нами,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'не,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0",ужи'нах,"#iIa_, irreg_decl:0, Irreg_decl:0, accent_chg:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0","nom_pl:0,gen_sg:0,gen_pl:0,dat_sg:0,dat_pl:0,acc_pl:0,inst_sg:0,inst_pl:0,prep_sg:0,prep_pl:0",
украинский,украи'нский,й,m,ukrainian,False,False,True,False,,,Украи'нский,"#iI__, irreg_decl:0, Irreg_decl:0",,,Украи'нского,"#iI__, irreg_decl:0, Irreg_decl:0",,,Украи'нскому,"#iI__, irreg_decl:0, Irreg_decl:0",,,Украи'нский,"#iI__, irreg_decl:0, Irreg_decl:0",,,Украи'нским,"#iI__, irreg_decl:0, Irreg_decl:0",,,Украи'нском,"#iI__, irreg_decl:0, Irreg_decl:0",,,"nom_sg:0,gen_sg:0,dat_sg:0,acc_sg:0,inst_sg:0,prep_sg:0","nom_sg:0,gen_sg:0,dat_sg:0,acc_sg:0,inst_sg:0,prep_sg:0",,
улица,у'лица,а,f,street,False,False,False,False,,,у'лица,,у'лицы,,у'лицы,,у'лиц,,у'лице,,у'лицам,,у'лицу,,у'лицы,,у'лицей/у'лицею,"#___m, ",у'лицами,,у'лице,,у'лицах,,,,,inst_sg
улучшение,улучше'ние,е,n,"improvement, amelioration",False,False,False,False,,,улучше'ние,,улучше'ния,,улучше'ния,,улучше'ний,,улучше'нию,,улучше'ниям,,улучше'ние,,улучше'ния,,улучше'нием,,улучше'ниями,,улучше'нии,,улучше'ниях,,,,,
универсальность,универса'льность,ь,f,"versatility, universality",False,False,False,False,,,универса'льность,,универса'льности,,универса'льности,,универса'льностей,,универса'льности,,универса'льностям,,универса'льность,,универса'льности,,универса'льностью,,универса'льностями,,универса'льности,,универса'льностях,,,,,
университет,университе'т,т,m,university,False,False,False,False,,,университе'т,,университе'ты,,университе'та,,университе'тов,,университе'ту,,университе'там,,университе'т,,университе'ты,,университе'том,,университе'тами,,университе'те,,университе'тах,,,,,
упражнение,упражне'ние,е,n,"exercise, practice, training",False,False,False,False,,,упражне'ние,,упражне'ния,,упражне'ния,,упражне'ний,,упражне'нию,,упражне'ниям,,упражне'ние,,упражне'ния,,упражне'нием,,упражне'ниями,,упражне'нии,,упражне'ниях,,,,,
