infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
бежать,бежа'ть,беж,ать,imperfective,побежать,*и-conj,*бегу',бежи'шь,бежи'т,бежи'м,бежи'те,*бегу'т,*беги',*беги'те,бежа'л,бежа'ла,бежа'ло,бежа'ли
побежать,побежа'ть,побеж,ать,perfective,бежать,*и-conj,*побегу',побежи'шь,побежи'т,побежи'м,побежи'те,*побегу'т,*побеги',*побеги'те,побежа'л,побежа'ла,побежа'ло,побежа'ли
брать,бра'ть,бр,ать,imperfective,взять;побрать,е-conj,*беру',*берёшь,*берёт,*берём,*берёте,*беру'т,*бери',*бери'те,бра'л,~брала',бра'ло,бра'ли
взять,взя'ть,вз,ять,perfective,брать,е-conj,*возьму',*возьмёшь,*возьмёт,*возьмём,*возьмёте,*возьму'т,*возьми',*возьми'те,взя'л,~взяла',~взяло',взя'ли
бросать,броса'ть,брос,ать,imperfective,бросить,е-conj,броса'ю,броса'ешь,броса'ет,броса'ем,броса'ете,броса'ют,броса'й,броса'йте,броса'л,броса'ла,броса'ло,броса'ли
бросить,бро'сить,брос,ить,perfective,бросать,и-conj,*бро'шу,бро'сишь,бро'сит,бро'сим,бро'сите,бро'сят,бро'сь,бро'сьте,бро'сил,бро'сила,бро'сило,бро'сили
варить,вари'ть,вар,ить,imperfective,сварить,и-conj,варю',~ва'ришь,~ва'рит,~ва'рим,~ва'рите,~ва'рят,вари',вари'те,вари'л,вари'ла,вари'ло,вари'ли
сварить,свари'ть,свар,ить,perfective,"варить,сваривать",и-conj,сварю',~сва'ришь,~сва'рит,~сва'рим,~сва'рите,~сва'рят,свари',свари'те,свари'л,свари'ла,свари'ло,свари'ли
видеть,ви'деть,вид,еть,imperfective,увидеть,*и-conj,*ви'жу,ви'дишь,ви'дит,ви'дим,ви'дите,ви'дят,ви'дь,ви'дьте,ви'дел,ви'дела,ви'дело,ви'дели
увидеть,уви'деть,увид,еть,perfective,видеть,*и-conj,*уви'жу,уви'дишь,уви'дит,уви'дим,уви'дите,уви'дят,уви'дь,уви'дьте,уви'дел,уви'дела,уви'дело,уви'дели
вставать,встава'ть,встав,ать,imperfective,встать,е-conj,встаю',встаёшь,встаёт,встаём,встаёте,встаю'т,встава'й,встава'йте,встава'л,встава'ла,встава'ло,встава'ли
встать,вста'ть,вст,ать,perfective,вставать,е-conj,*вста'ну,*вста'нешь,*вста'нет,*вста'нем,*вста'нете,*вста'нут,*вста'нь,*вста'ньте,вста'л,вста'ла,вста'ло,вста'ли
встречаться,встреча'ться,встреч,аться,imperfective,встретиться,е-conj,встреча'юсь,встреча'ешься,встреча'ется,встреча'емся,встреча'етесь,встреча'ются,встреча'йся,встреча'йтесь,встреча'лся,встреча'лась,встреча'лось,встреча'лись
встретиться,встре'титься,встрет,иться,perfective,встречаться,и-conj,*встре'чусь,встре'тишься,встре'тится,встре'тимся,встре'титесь,встре'тятся,встре'ться,встре'тьтесь,встре'тился,встре'тилась,встре'тилось,встре'тились
выступать,выступа'ть,выступ,ать,imperfective,выступить,е-conj,выступа'ю,выступа'ешь,выступа'ет,выступа'ем,выступа'ете,выступа'ют,выступа'й,выступа'йте,выступа'л,выступа'ла,выступа'ло,выступа'ли
выступить,вы'ступить,выступ,ить,perfective,выступать,и-conj,вы'ступлю,вы'ступишь,вы'ступит,вы'ступим,вы'ступите,вы'ступят,вы'ступи,вы'ступите,вы'ступил,вы'ступила,вы'ступило,вы'ступили
говорить,говори'ть,говор,ить,imperfective,сказать;поговорить,и-conj,говорю',говори'шь,говори'т,говори'м,говори'те,говоря'т,говори',говори'те,говори'л,говори'ла,говори'ло,говори'ли
сказать,сказа'ть,сказ,ать,perfective,говорить;ска'зывать,е-conj,*скажу',*ска'жешь,*ска'жет,*ска'жем,*ска'жете,*ска'жут,*скажи',*скажи'те,сказа'л,сказа'ла,сказа'ло,сказа'ли
поговорить,поговори'ть,поговор,ить,perfective,говорить;поговаривать,и-conj,поговорю',поговори'шь,поговори'т,поговори'м,поговори'те,поговоря'т,поговори',поговори'те,поговори'л,поговори'ла,поговори'ло,поговори'ли
готовить,гото'вить,готов,ить,imperfective,приготовить;подготовить;заготовить,и-conj,гото'влю,гото'вишь,гото'вит,гото'вим,гото'вите,гото'вят,гото'вь,гото'вьте,гото'вил,гото'вила,гото'вило,гото'вили
приготовить,пригото'вить,приготов,ить,perfective,"готовить,приготовлять,приготавливать",и-conj,пригото'влю,пригото'вишь,пригото'вит,пригото'вим,пригото'вите,пригото'вят,пригото'вь,пригото'вьте,пригото'вил,пригото'вила,пригото'вило,пригото'вили
давать,дава'ть,дав,ать,imperfective,дать,е-conj,даю',даёшь,даёт,даём,даёте,даю'т,дава'й,дава'йте,дава'л,дава'ла,дава'ло,дава'ли
дать,да'ть,д,ать,perfective,давать,unknown,*да'м,*да'шь,*да'ст,*дади'м,*дади'те,*даду'т,*да'й,*да'йте,да'л,~дала',~дало',да'ли
делать,де'лать,дел,ать,imperfective,сделать;поделать,е-conj,де'лаю,де'лаешь,де'лает,де'лаем,де'лаете,де'лают,де'лай,де'лайте,де'лал,де'лала,де'лало,де'лали
сделать,сде'лать,сдел,ать,perfective,делать,е-conj,сде'лаю,сде'лаешь,сде'лает,сде'лаем,сде'лаете,сде'лают,сде'лай,сде'лайте,сде'лал,сде'лала,сде'лало,сде'лали
думать,ду'мать,дум,ать,imperfective,подумать,е-conj,ду'маю,ду'маешь,ду'мает,ду'маем,ду'маете,ду'мают,ду'май,ду'майте,ду'мал,ду'мала,ду'мало,ду'мали
подумать,поду'мать,подум,ать,perfective,думать,е-conj,поду'маю,поду'маешь,поду'мает,поду'маем,поду'маете,поду'мают,поду'май,поду'майте,поду'мал,поду'мала,поду'мало,поду'мали
ехать,е'хать,ех,ать,imperfective,поехать;е'здить,е-conj,*е'ду,*е'дешь,*е'дет,*е'дем,*е'дете,*е'дут,*езжа'й,*езжа'йте,е'хал,е'хала,е'хало,е'хали
поехать,пое'хать,поех,ать,perfective,ехать,е-conj,*пое'ду,*пое'дешь,*пое'дет,*пое'дем,*пое'дете,*пое'дут,*поезжа'й,*поезжа'йте,пое'хал,пое'хала,пое'хало,пое'хали
есть,е'сть,,,imperfective,съесть;поесть,е-conj,*е'м,*е'шь,*е'ст,*еди'м,*еди'те,*едя'т,*е'шь,*е'шьте,*е'л,*е'ла,*е'ло,*е'ли
съесть,съе'сть,,,perfective,"есть,съедать",е-conj,*съе'м,*съе'шь,*съе'ст,*съеди'м,*съеди'те,*съедя'т,*съе'шь,*съе'шьте,*съе'л,*съе'ла,*съе'ло,*съе'ли
поесть,пое'сть,,,perfective,"есть,поедать",е-conj,*пое'м,*пое'шь,*пое'ст,*поеди'м,*поеди'те,*поедя'т,*пое'шь,*пое'шьте,*пое'л,*пое'ла,*пое'ло,*пое'ли
ждать,жда'ть,жд,ать,imperfective,подождать,е-conj,*жду',*ждёшь,*ждёт,*ждём,*ждёте,*жду'т,*жди',*жди'те,жда'л,~ждала',жда'ло,жда'ли
подождать,подожда'ть,подожд,ать,perfective,ждать,е-conj,*подожду',*подождёшь,*подождёт,*подождём,*подождёте,*подожду'т,*подожди',*подожди'те,подожда'л,~подождала',подожда'ло,подожда'ли
завтракать,за'втракать,завтрак,ать,imperfective,позавтракать,е-conj,за'втракаю,за'втракаешь,за'втракает,за'втракаем,за'втракаете,за'втракают,за'втракай,за'втракайте,за'втракал,за'втракала,за'втракало,за'втракали
позавтракать,поза'втракать,позавтрак,ать,perfective,завтракать,е-conj,поза'втракаю,поза'втракаешь,поза'втракает,поза'втракаем,поза'втракаете,поза'втракают,поза'втракай,поза'втракайте,поза'втракал,поза'втракала,поза'втракало,поза'втракали
заказывать,зака'зывать,заказыв,ать,imperfective,заказать,е-conj,зака'зываю,зака'зываешь,зака'зывает,зака'зываем,зака'зываете,зака'зывают,зака'зывай,зака'зывайте,зака'зывал,зака'зывала,зака'зывало,зака'зывали
заказать,заказа'ть,заказ,ать,perfective,заказывать,е-conj,*закажу',*зака'жешь,*зака'жет,*зака'жем,*зака'жете,*зака'жут,*закажи',*закажи'те,заказа'л,заказа'ла,заказа'ло,заказа'ли
заканчивать,зака'нчивать,заканчив,ать,imperfective,закончить,е-conj,зака'нчиваю,зака'нчиваешь,зака'нчивает,зака'нчиваем,зака'нчиваете,зака'нчивают,зака'нчивай,зака'нчивайте,зака'нчивал,зака'нчивала,зака'нчивало,зака'нчивали
закончить,зако'нчить,законч,ить,perfective,заканчивать,и-conj,зако'нчу,зако'нчишь,зако'нчит,зако'нчим,зако'нчите,зако'нчат,*зако'нчи,*зако'нчите,зако'нчил,зако'нчила,зако'нчило,зако'нчили
закрываться,закрыва'ться,закрыв,аться,imperfective,закрыться,е-conj,закрыва'юсь,закрыва'ешься,закрыва'ется,закрыва'емся,закрыва'етесь,закрыва'ются,закрыва'йся,закрыва'йтесь,закрыва'лся,закрыва'лась,закрыва'лось,закрыва'лись
закрыться,закры'ться,закр,ыться,perfective,закрываться,е-conj,*закро'юсь,*закро'ешься,*закро'ется,*закро'емся,*закро'етесь,*закро'ются,*закро'йся,*закро'йтесь,закры'лся,закры'лась,закры'лось,закры'лись
записывать,запи'сывать,записыв,ать,imperfective,записать,е-conj,запи'сываю,запи'сываешь,запи'сывает,запи'сываем,запи'сываете,запи'сывают,запи'сывай,запи'сывайте,запи'сывал,запи'сывала,запи'сывало,запи'сывали
записать,записа'ть,запис,ать,perfective,записывать,е-conj,*запишу',*запи'шешь,*запи'шет,*запи'шем,*запи'шете,*запи'шут,*запиши',*запиши'те,записа'л,записа'ла,записа'ло,записа'ли
запоминать,запомина'ть,запомин,ать,imperfective,запомнить,е-conj,запомина'ю,запомина'ешь,запомина'ет,запомина'ем,запомина'ете,запомина'ют,запомина'й,запомина'йте,запомина'л,запомина'ла,запомина'ло,запомина'ли
запомнить,запо'мнить,запомн,ить,perfective,помнить;запоминать,и-conj,запо'мню,запо'мнишь,запо'мнит,запо'мним,запо'мните,запо'мнят,*запо'мни,*запо'мните,запо'мнил,запо'мнила,запо'мнило,запо'мнили
звонить,звони'ть,звон,ить,imperfective,позвонить,и-conj,звоню',звони'шь,звони'т,звони'м,звони'те,звоня'т,звони',звони'те,звони'л,звони'ла,звони'ло,звони'ли
позвонить,позвони'ть,позвон,ить,perfective,звонить,и-conj,позвоню',позвони'шь,позвони'т,позвони'м,позвони'те,позвоня'т,позвони',позвони'те,позвони'л,позвони'ла,позвони'ло,позвони'ли
знать,зна'ть,зн,ать,imperfective,узнать,е-conj,зна'ю,зна'ешь,зна'ет,зна'ем,зна'ете,зна'ют,зна'й,зна'йте,зна'л,зна'ла,зна'ло,зна'ли
узнать,узна'ть,узн,ать,perfective,знать;узнавать,е-conj,узна'ю,узна'ешь,узна'ет,узна'ем,узна'ете,узна'ют,узна'й,узна'йте,узна'л,узна'ла,узна'ло,узна'ли
казаться,каза'ться,каз,аться,imperfective,показаться,е-conj,*кажу'сь,*ка'жешься,*ка'жется,*ка'жемся,*ка'жетесь,*ка'жутся,*кажи'сь,*кажи'тесь,каза'лся,каза'лась,каза'лось,каза'лись
показаться,показа'ться,показ,аться,perfective,казаться;показываться,е-conj,*покажу'сь,*пока'жешься,*пока'жется,*пока'жемся,*пока'жетесь,*пока'жутся,*покажи'сь,*покажи'тесь,показа'лся,показа'лась,показа'лось,показа'лись
класть,кла'сть,,,imperfective,положить;сложить;наложить,е-conj,*кладу',*кладёшь,*кладёт,*кладём,*кладёте,*кладу'т,*клади',*клади'те,*клал,*кла'ла,*кла'ло,*кла'ли
положить,положи'ть,полож,ить,perfective,класть,и-conj,положу',~поло'жишь,~поло'жит,~поло'жим,~поло'жите,~поло'жат,положи',положи'те,положи'л,положи'ла,положи'ло,положи'ли
ложиться,ложи'ться,лож,иться,imperfective,лечь,и-conj,ложу'сь,ложи'шься,ложи'тся,ложи'мся,ложи'тесь,ложа'тся,ложи'сь,ложи'тесь,ложи'лся,ложи'лась,ложи'лось,ложи'лись
лечь,ле'чь,ле,чь,perfective,ложиться,е-conj,*ля'гу,*ля'жешь,*ля'жет,*ля'жем,*ля'жете,*ля'гут,*ля'г,*ля'гте,*лёг,*легла',*легло',*легли'
мыть,мы'ть,м,ыть,imperfective,помыть;вымыть,е-conj,*мо'ю,*мо'ешь,*мо'ет,*мо'ем,*мо'ете,*мо'ют,*мо'й,*мо'йте,мы'л,мы'ла,мы'ло,мы'ли
помыть,помы'ть,пом,ыть,perfective,мыть,е-conj,*помо'ю,*помо'ешь,*помо'ет,*помо'ем,*помо'ете,*помо'ют,*помо'й,*помо'йте,помы'л,помы'ла,помы'ло,помы'ли
надевать,надева'ть,надев,ать,imperfective,надеть,е-conj,*надева'ю,*надева'ешь,*надева'ет,*надева'ем,*надева'ете,*надева'ют,*надева'й,*надева'йте,надева'л,надева'ла,надева'ло,надева'ли
надеть,наде'ть,над,еть,perfective,надевать,е-conj,*наде'ну,*наде'нешь,*наде'нет,*наде'нем,*наде'нете,*наде'нут,*наде'нь,*наде'ньте,наде'л,наде'ла,наде'ло,наде'ли
нравиться,нра'виться,нрав,иться,imperfective,понравиться,и-conj,нра'влюсь,нра'вишься,нра'вится,нра'вимся,нра'витесь,нра'вятся,нра'вься,нра'вьтесь,нра'вился,нра'вилась,нра'вилось,нра'вились
понравиться,понра'виться,понрав,иться,perfective,нравиться,и-conj,понра'влюсь,понра'вишься,понра'вится,понра'вимся,понра'витесь,понра'вятся,понра'вься,понра'вьтесь,понра'вился,понра'вилась,понра'вилось,понра'вились
обедать,обе'дать,обед,ать,imperfective,пообедать,е-conj,обе'даю,обе'даешь,обе'дает,обе'даем,обе'даете,обе'дают,обе'дай,обе'дайте,обе'дал,обе'дала,обе'дало,обе'дали
пообедать,пообе'дать,пообед,ать,perfective,обедать,е-conj,пообе'даю,пообе'даешь,пообе'дает,пообе'даем,пообе'даете,пообе'дают,пообе'дай,пообе'дайте,пообе'дал,пообе'дала,пообе'дало,пообе'дали
обсуждать,обсужда'ть,обсужд,ать,imperfective,обсудить,е-conj,обсужда'ю,обсужда'ешь,обсужда'ет,обсужда'ем,обсужда'ете,обсужда'ют,обсужда'й,обсужда'йте,обсужда'л,обсужда'ла,обсужда'ло,обсужда'ли
обсудить,обсуди'ть,обсуд,ить,perfective,обсуждать;обсу'живать,и-conj,*обсужу',~обсу'дишь,~обсу'дит,~обсу'дим,~обсу'дите,~обсу'дят,обсуди',обсуди'те,обсуди'л,обсуди'ла,обсуди'ло,обсуди'ли
одеваться,одева'ться,одев,аться,imperfective,одеться,е-conj,*одева'юсь,*одева'ешься,*одева'ется,*одева'емся,*одева'етесь,*одева'ются,*одева'йся,*одева'йтесь,одева'лся,одева'лась,одева'лось,одева'лись
одеться,оде'ться,од,еться,perfective,одеваться,е-conj,*оде'нусь,*оде'нешься,*оде'нется,*оде'немся,*оде'нетесь,*оде'нутся,*оде'нься,*оде'ньтесь,оде'лся,оде'лась,оде'лось,оде'лись
осматривать,осма'тривать,осматрив,ать,imperfective,осмотреть,е-conj,осма'триваю,осма'триваешь,осма'тривает,осма'триваем,осма'триваете,осма'тривают,осма'тривай,осма'тривайте,осма'тривал,осма'тривала,осма'тривало,осма'тривали
осмотреть,осмотре'ть,осмотр,еть,perfective,осматривать,*и-conj,осмотрю',~осмо'тришь,~осмо'трит,~осмо'трим,~осмо'трите,~осмо'трят,осмотри',осмотри'те,осмотре'л,осмотре'ла,осмотре'ло,осмотре'ли
отвечать,отвеча'ть,отвеч,ать,imperfective,ответить,е-conj,отвеча'ю,отвеча'ешь,отвеча'ет,отвеча'ем,отвеча'ете,отвеча'ют,отвеча'й,отвеча'йте,отвеча'л,отвеча'ла,отвеча'ло,отвеча'ли
ответить,отве'тить,ответ,ить,perfective,отвечать,и-conj,*отве'чу,отве'тишь,отве'тит,отве'тим,отве'тите,отве'тят,отве'ть,отве'тьте,отве'тил,отве'тила,отве'тило,отве'тили
отдыхать,отдыха'ть,отдых,ать,imperfective,отдохнуть,е-conj,отдыха'ю,отдыха'ешь,отдыха'ет,отдыха'ем,отдыха'ете,отдыха'ют,отдыха'й,отдыха'йте,отдыха'л,отдыха'ла,отдыха'ло,отдыха'ли
отдохнуть,отдохну'ть,отдохн,уть,perfective,отдыхать,е-conj,*отдохну',*отдохнёшь,*отдохнёт,*отдохнём,*отдохнёте,*отдохну'т,*отдохни',*отдохни'те,отдохну'л,отдохну'ла,отдохну'ло,отдохну'ли
открываться,открыва'ться,открыв,аться,imperfective,открыться,е-conj,открыва'юсь,открыва'ешься,открыва'ется,открыва'емся,открыва'етесь,открыва'ются,открыва'йся,открыва'йтесь,открыва'лся,открыва'лась,открыва'лось,открыва'лись
открыться,откры'ться,откр,ыться,perfective,открываться,е-conj,*откро'юсь,*откро'ешься,*откро'ется,*откро'емся,*откро'етесь,*откро'ются,*откро'йся,*откро'йтесь,откры'лся,откры'лась,откры'лось,откры'лись
пить,пи'ть,п,ить,imperfective,выпить;попить,*е-conj,*пью',*пьёшь,*пьёт,*пьём,*пьёте,*пью'т,*пе'й,*пе'йте,пи'л,~пила',пи'ло,пи'ли
выпить,вы'пить,вып,ить,perfective,пить;выпивать,*е-conj,*вы'пью,*вы'пьешь,*вы'пьет,*вы'пьем,*вы'пьете,*вы'пьют,*вы'пей,*вы'пейте,вы'пил,вы'пила,вы'пило,вы'пили
писать,писа'ть,пис,ать,imperfective,написать,е-conj,*пишу',*пи'шешь,*пи'шет,*пи'шем,*пи'шете,*пи'шут,*пиши',*пиши'те,писа'л,писа'ла,писа'ло,писа'ли
написать,написа'ть,напис,ать,perfective,писать,е-conj,*напишу',*напи'шешь,*напи'шет,*напи'шем,*напи'шете,*напи'шут,*напиши',*напиши'те,написа'л,написа'ла,написа'ло,написа'ли
платить,плати'ть,плат,ить,imperfective,выплатить;заплатить,и-conj,*плачу',~пла'тишь,~пла'тит,~пла'тим,~пла'тите,~пла'тят,плати',плати'те,плати'л,плати'ла,плати'ло,плати'ли
заплатить,заплати'ть,заплат,ить,perfective,платить,и-conj,*заплачу',~запла'тишь,~запла'тит,~запла'тим,~запла'тите,~запла'тят,заплати',заплати'те,заплати'л,заплати'ла,заплати'ло,заплати'ли
показывать,пока'зывать,показыв,ать,imperfective,показать,е-conj,пока'зываю,пока'зываешь,пока'зывает,пока'зываем,пока'зываете,пока'зывают,пока'зывай,пока'зывайте,пока'зывал,пока'зывала,пока'зывало,пока'зывали
показать,показа'ть,показ,ать,perfective,показывать,е-conj,*покажу',*пока'жешь,*пока'жет,*пока'жем,*пока'жете,*пока'жут,*покажи',*покажи'те,показа'л,показа'ла,показа'ло,показа'ли
покупать,покупа'ть,покуп,ать,imperfective,купить,е-conj,покупа'ю,покупа'ешь,покупа'ет,покупа'ем,покупа'ете,покупа'ют,покупа'й,покупа'йте,покупа'л,покупа'ла,покупа'ло,покупа'ли
купить,купи'ть,куп,ить,perfective,покупать,и-conj,куплю',~ку'пишь,~ку'пит,~ку'пим,~ку'пите,~ку'пят,купи',купи'те,купи'л,купи'ла,купи'ло,купи'ли
помогать,помога'ть,помог,ать,imperfective,помочь,е-conj,помога'ю,помога'ешь,помога'ет,помога'ем,помога'ете,помога'ют,помога'й,помога'йте,помога'л,помога'ла,помога'ло,помога'ли
помочь,помо'чь,помо,чь,perfective,помогать,е-conj,*помогу',*помо'жешь,*помо'жет,*помо'жем,*помо'жете,*помо'гут,*помоги',*помоги'те,*помо'г,*помогла',*помогло',*помогли'
понимать,понима'ть,поним,ать,imperfective,понять,е-conj,понима'ю,понима'ешь,понима'ет,понима'ем,понима'ете,понима'ют,понима'й,понима'йте,понима'л,понима'ла,понима'ло,понима'ли
понять,поня'ть,пон,ять,perfective,понимать,е-conj,*пойму',*поймёшь,*поймёт,*поймём,*поймёте,*пойму'т,*пойми',*пойми'те,~по'нял,~поняла',~по'няло,~по'няли
приезжать,приезжа'ть,приезж,ать,imperfective,приехать,е-conj,приезжа'ю,приезжа'ешь,приезжа'ет,приезжа'ем,приезжа'ете,приезжа'ют,приезжа'й,приезжа'йте,приезжа'л,приезжа'ла,приезжа'ло,приезжа'ли
приехать,прие'хать,приех,ать,perfective,приезжать,е-conj,*прие'ду,*прие'дешь,*прие'дет,*прие'дем,*прие'дете,*прие'дут,*приезжа'й,*приезжа'йте,прие'хал,прие'хала,прие'хало,прие'хали
принимать,принима'ть,приним,ать,imperfective,принять,е-conj,принима'ю,принима'ешь,принима'ет,принима'ем,принима'ете,принима'ют,принима'й,принима'йте,принима'л,принима'ла,принима'ло,принима'ли
принять,приня'ть,прин,ять,perfective,принимать,е-conj,*приму',*при'мешь,*при'мет,*при'мем,*при'мете,*при'мут,*прими',*прими'те,~при'нял,~приняла',~при'няло,~при'няли
продавать,продава'ть,продав,ать,imperfective,продать,е-conj,продаю',продаёшь,продаёт,продаём,продаёте,продаю'т,продава'й,продава'йте,продава'л,продава'ла,продава'ло,продава'ли
продать,прода'ть,прод,ать,perfective,продавать,unknown,*прода'м,*прода'шь,*прода'ст,*продади'м,*продади'те,*продаду'т,*прода'й,*прода'йте,~про'дал,~продала',~продало',~про'дали
просить,проси'ть,прос,ить,imperfective,попросить,и-conj,*прошу',~про'сишь,~про'сит,~про'сим,~про'сите,~про'сят,проси',проси'те,проси'л,проси'ла,проси'ло,проси'ли
попросить,попроси'ть,попрос,ить,perfective,просить,и-conj,*попрошу',~попро'сишь,~попро'сит,~попро'сим,~попро'сите,~попро'сят,попроси',попроси'те,попроси'л,попроси'ла,попроси'ло,попроси'ли
проходить,проходи'ть,проход,ить,imperfective,пройти,и-conj,*прохожу',~прохо'дишь,~прохо'дит,~прохо'дим,~прохо'дите,~прохо'дят,проходи',проходи'те,проходи'л,проходи'ла,проходи'ло,проходи'ли
пройти,пройти',прой,ти,perfective,проходить,е-conj,*пройду',*пройдёшь,*пройдёт,*пройдём,*пройдёте,*пройду'т,*пройди',*пройди'те,*прошёл,*прошла',*прошло',*прошли'
раздеваться,раздева'ться,раздев,аться,imperfective,раздеться,е-conj,*раздева'юсь,*раздева'ешься,*раздева'ется,*раздева'емся,*раздева'етесь,*раздева'ются,*раздева'йся,*раздева'йтесь,раздева'лся,раздева'лась,раздева'лось,раздева'лись
раздеться,разде'ться,разд,еться,perfective,раздеваться,е-conj,*разде'нусь,*разде'нешься,*разде'нется,*разде'немся,*разде'нетесь,*разде'нутся,*разде'нься,*разде'ньтесь,разде'лся,разде'лась,разде'лось,разде'лись
расти,расти',рас,ти,imperfective,вырасти,е-conj,*расту',*растёшь,*растёт,*растём,*растёте,*расту'т,*расти',*расти'те,*ро'с,*росла',*росло',*росли'
вырасти,вы'расти,вырас,ти,perfective,"расти,вырастать",е-conj,*вы'расту,*вы'растешь,*вы'растет,*вы'растем,*вы'растете,*вы'растут,*вы'расти,*вы'растите,*вы'рос,*вы'росла,*вы'росло,*вы'росли
рисовать,рисова'ть,рисов,ать,imperfective,нарисовать,е-conj,рису'ю,рису'ешь,рису'ет,рису'ем,рису'ете,рису'ют,рису'й,рису'йте,рисова'л,рисова'ла,рисова'ло,рисова'ли
нарисовать,нарисова'ть,нарисов,ать,perfective,рисовать,е-conj,нарису'ю,нарису'ешь,нарису'ет,нарису'ем,нарису'ете,нарису'ют,нарису'й,нарису'йте,нарисова'л,нарисова'ла,нарисова'ло,нарисова'ли
смотреть,смотре'ть,смотр,еть,imperfective,посмотреть,*и-conj,смотрю',~смо'тришь,~смо'трит,~смо'трим,~смо'трите,~смо'трят,смотри',смотри'те,смотре'л,смотре'ла,смотре'ло,смотре'ли
посмотреть,посмотре'ть,посмотр,еть,perfective,смотреть,*и-conj,посмотрю',~посмо'тришь,~посмо'трит,~посмо'трим,~посмо'трите,~посмо'трят,посмотри',посмотри'те,посмотре'л,посмотре'ла,посмотре'ло,посмотре'ли
снимать,снима'ть,сним,ать,imperfective,снять,е-conj,снима'ю,снима'ешь,снима'ет,снима'ем,снима'ете,снима'ют,снима'й,снима'йте,снима'л,снима'ла,снима'ло,снима'ли
снять,сня'ть,сн,ять,perfective,снимать,е-conj,*сниму',*сни'мешь,*сни'мет,*сни'мем,*сни'мете,*сни'мут,*сними',*сними'те,сня'л,~сняла',сня'ло,сня'ли
спрашивать,спра'шивать,спрашив,ать,imperfective,спросить,е-conj,спра'шиваю,спра'шиваешь,спра'шивает,спра'шиваем,спра'шиваете,спра'шивают,спра'шивай,спра'шивайте,спра'шивал,спра'шивала,спра'шивало,спра'шивали
спросить,спроси'ть,спрос,ить,perfective,спрашивать,и-conj,*спрошу',~спро'сишь,~спро'сит,~спро'сим,~спро'сите,~спро'сят,спроси',спроси'те,спроси'л,спроси'ла,спроси'ло,спроси'ли
становиться,станови'ться,станов,иться,imperfective,стать,и-conj,становлю'сь,~стано'вишься,~стано'вится,~стано'вимся,~стано'витесь,~стано'вятся,станови'сь,станови'тесь,станови'лся,станови'лась,станови'лось,станови'лись
стать,ста'ть,ст,ать,perfective,становиться,е-conj,*ста'ну,*ста'нешь,*ста'нет,*ста'нем,*ста'нете,*ста'нут,*ста'нь,*ста'ньте,ста'л,ста'ла,ста'ло,ста'ли
стрелять,стреля'ть,стрел,ять,imperfective,выстрелить;стрельнуть;постреля'ть,е-conj,стреля'ю,стреля'ешь,стреля'ет,стреля'ем,стреля'ете,стреля'ют,стреля'й,стреля'йте,стреля'л,стреля'ла,стреля'ло,стреля'ли
выстрелить,вы'стрелить,выстрел,ить,perfective,"стрелять,выстреливать",и-conj,вы'стрелю,вы'стрелишь,вы'стрелит,вы'стрелим,вы'стрелите,вы'стрелят,вы'стрели,вы'стрелите,вы'стрелил,вы'стрелила,вы'стрелило,вы'стрелили
терять,теря'ть,тер,ять,imperfective,потерять,е-conj,теря'ю,теря'ешь,теря'ет,теря'ем,теря'ете,теря'ют,теря'й,теря'йте,теря'л,теря'ла,теря'ло,теря'ли
потерять,потеря'ть,потер,ять,perfective,терять,е-conj,потеря'ю,потеря'ешь,потеря'ет,потеря'ем,потеря'ете,потеря'ют,потеря'й,потеря'йте,потеря'л,потеря'ла,потеря'ло,потеря'ли
тереть,тере'ть,тер,еть,imperfective,стереть;потереть,е-conj,*тру',*трёшь,*трёт,*трём,*трёте,*тру'т,*три',*три'те,*тёр,*тёрла,*тёрло,*тёрли
стереть,стере'ть,стер,еть,perfective,стирать,е-conj,*сотру',*сотрёшь,*сотрёт,*сотрём,*сотрёте,*сотру'т,*сотри',*сотри'те,*стёр,*стёрла,*стёрло,*стёрли
уезжать,уезжа'ть,уезж,ать,imperfective,уехать,е-conj,уезжа'ю,уезжа'ешь,уезжа'ет,уезжа'ем,уезжа'ете,уезжа'ют,уезжа'й,уезжа'йте,уезжа'л,уезжа'ла,уезжа'ло,уезжа'ли
уехать,уе'хать,уех,ать,perfective,уезжать,е-conj,*уе'ду,*уе'дешь,*уе'дет,*уе'дем,*уе'дете,*уе'дут,*уезжа'й,*уезжа'йте,уе'хал,уе'хала,уе'хало,уе'хали
уходить,уходи'ть,уход,ить,imperfective,уйти,и-conj,*ухожу',~ухо'дишь,~ухо'дит,~ухо'дим,~ухо'дите,~ухо'дят,уходи',уходи'те,уходи'л,уходи'ла,уходи'ло,уходи'ли
уйти,уйти',уй,ти,perfective,уходить,е-conj,*уйду',*уйдёшь,*уйдёт,*уйдём,*уйдёте,*уйду'т,*уйди',*уйди'те,*ушёл,*ушла',*ушло',*ушли'
