infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
править,пра'вить,прав,ить,imperfective,выправить,и-conj,пра'влю,пра'вишь,пра'вит,пра'вим,пра'вите,пра'вят,пра'вь,пра'вьте,пра'вил,пра'вила,пра'вило,пра'вили
преподавать,преподава'ть,преподав,ать,imperfective,преподать,е-conj,преподаю',преподаёшь,преподаёт,преподаём,преподаёте,преподаю'т,преподава'й,преподава'йте,преподава'л,преподава'ла,преподава'ло,преподава'ли
переть,пере'ть,пер,еть,imperfective,попереть;спереть,е-conj,*пру',*прёшь,*прёт,*прём,*прёте,*пру'т,*при',*при'те,*пёр,*пёрла,*пёрло,*пёрли
приближаться,приближа'ться,приближ,аться,imperfective,приблизиться,е-conj,приближа'юсь,приближа'ешься,приближа'ется,приближа'емся,приближа'етесь,приближа'ются,приближа'йся,приближа'йтесь,приближа'лся,приближа'лась,приближа'лось,приближа'лись
привыкнуть,привы'кнуть,привыкн,уть,perfective,привыкать,е-conj,*привы'кну,*привы'кнешь,*привы'кнет,*привы'кнем,*привы'кнете,*привы'кнут,*привы'кни,*привы'кните,*привы'к,*привы'кла,*привы'кло,*привы'кли
пригласить,пригласи'ть,приглас,ить,perfective,приглашать,и-conj,*приглашу',пригласи'шь,пригласи'т,пригласи'м,пригласи'те,приглася'т,пригласи',пригласи'те,пригласи'л,пригласи'ла,пригласи'ло,пригласи'ли
приговорить,приговори'ть,приговор,ить,perfective,приговаривать,и-conj,приговорю',приговори'шь,приговори'т,приговори'м,приговори'те,приговоря'т,приговори',приговори'те,приговори'л,приговори'ла,приговори'ло,приговори'ли
прийти,прийти',прий,ти,perfective,приходи'ть,е-conj,*приду',*придёшь,*придёт,*придём,*придёте,*приду'т,*приди',*приди'те,*пришёл,*пришла',*пришло',*пришли'
придумать,приду'мать,придум,ать,perfective,придумывать,е-conj,приду'маю,приду'маешь,приду'мает,приду'маем,приду'маете,приду'мают,приду'май,приду'майте,приду'мал,приду'мала,приду'мало,приду'мали
прилететь,прилете'ть,прилет,еть,perfective,прилетать,*и-conj,*прилечу',прилети'шь,прилети'т,прилети'м,прилети'те,прилетя'т,прилети',прилети'те,прилете'л,прилете'ла,прилете'ло,прилете'ли
принести,принести',принес,ти,perfective,приносить,е-conj,принесу',принесёшь,принесёт,принесём,принесёте,принесу'т,*принеси',*принеси'те,*принёс,*принесла',*принесло',*принесли'
приходить,приходи'ть,приход,ить,imperfective,прийти',и-conj,*прихожу',~прихо'дишь,~прихо'дит,~прихо'дим,~прихо'дите,~прихо'дят,приходи',приходи'те,приходи'л,приходи'ла,приходи'ло,приходи'ли
